building_name,zone_name,surface_name,surface_type,surface_area,surface_comment
benchmark_hospital,zone_1,surface_adiabatic_floor_1,floor_concrete,2109.212968074507,
benchmark_hotel,zone_1,surface_adiabatic_floor_1,floor_concrete,1235.2908574995145,
benchmark_industrial,zone_1,surface_adiabatic_floor_1,floor_concrete,2048.028017577325,
benchmark_multi_res,zone_1,surface_adiabatic_floor_1,floor_concrete,504.7048427689407,
benchmark_office,zone_1,surface_adiabatic_floor_1,floor_concrete,2886.7529256104503,
benchmark_other,zone_1,surface_adiabatic_floor_1,floor_concrete,1182.0451942552615,
benchmark_retail,zone_1,surface_adiabatic_floor_1,floor_concrete,462.7373676309397,
benchmark_school,zone_1,surface_adiabatic_floor_1,floor_concrete,1446.8653459657257,
benchmark_single_res,zone_1,surface_adiabatic_floor_1,floor_concrete,1345.38290057526,
benchmark_university,zone_1,surface_adiabatic_floor_1,floor_concrete,3987.222091599844,
